"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001001474.2",95.6822792683198,-1.41486459218823,0.56991187852865,9.01112724924486,0.0291433089271991,0.415935565514505
"NM_001001475.1",57.2480786806322,-2.52876506912743,1.35628185462519,3.45462161440591,0.326695411158176,0.973256365990395
"NM_001001768.2",20.2292508408831,0.842117349144499,0.500561268477801,4.73411084843123,0.192334807291317,0.878647390068269
"NM_001005725.1",15.5788770244935,-0.253688333274405,0.492409842543934,0.775773074477641,0.855252580834964,NA
"NM_001011728.2",28.6743671952825,0.814386431352559,0.665993353704163,2.16060051113153,0.539750475026129,1
"NM_001012702.1",1.50269790658443,-0.956863287096453,2.45243188319293,1.19581200257775,0.754008940748543,NA
"NM_001015510.1",2.60232838942779,-0.623636698792422,1.7279104220103,0.916030226584574,0.821557724245371,NA
"NM_001025211.1",16.4725963868954,-1.08558182946364,1.40184065387074,1.72297855107932,0.631837279497147,NA
"NM_001025213.1",0.608292703332328,0.400196537604786,3.54683282540676,0.266925496039491,0.966123942349499,NA
"NM_001032368.2",3.60102832434333,-0.986392966575257,4.01722535974628,0.235479551161369,0.971668114005443,NA
"NM_001032369.2",31.0435594581533,1.04592807680731,0.8033350192478,1.72230903194365,0.631985430110615,1
"NM_001032370.1",2.90736781863079,-1.48341451139812,2.83631710336655,1.00605299707482,0.799787313271907,NA
"NM_001032371.2",71.5234469956914,-0.600159293974466,0.749139158856117,1.55576722940137,0.669460358232853,1
"NM_001033012.2",1.48687591594479,-1.52503611996419,1.73061890454187,1.51756979887441,0.678221207294077,NA
"NM_001033524.1",26.5472942941086,-0.184506581273287,0.355587968894191,0.952263471345546,0.81280055233579,1
"NM_001033647.1",4.26414192992962,-0.654193906867478,1.07622188560563,1.75349690056119,0.625106425994798,NA
"NM_001033650.1",0.821688589362138,-1.45160125160137,4.34847817158111,0.260382120993725,0.967298767254621,NA
"NM_001033949.1",5.09241260907088,0.0937677408861284,1.20595651526294,0.300590470031949,0.959917390595361,NA
"NM_001033950.1",4.72101446597508,-0.769755940209435,1.85348466495151,1.20922454714047,0.750792745113447,NA
"NM_001037630.1",18.8411196028443,-0.574256115800912,0.51768882347345,3.13823555084814,0.370799118859189,NA
"NM_001040015.1",106.95820951695,0.390463645042287,0.480864750577613,0.885570489236926,0.828908512074553,1
"NM_001040405.1",1.8398699863212,-0.0573331898974636,2.38930775198361,1.31591194736844,0.725358139726271,NA
"NM_001079540.1",0.84988292666761,0.373846052953357,2.94069688259455,0.100000567114712,0.991837355675815,NA
"NM_001079542.1",33.7602479211512,-0.089434125821905,0.348043916437642,2.23192642318232,0.525687268652979,1
"NM_001079545.1",0.74224202914787,0.614089086028824,4.3168673386652,0.373455837755202,0.945669626203101,NA
"NM_001079553.1",8.33542928934615,0.27136666442611,0.635651755599644,2.94546216322937,0.40011049799154,NA
"NM_001079554.2",2.89351875328836,2.66970813572647,1.58905716600837,8.33812808146018,0.0395168353724075,NA
"NM_001081965.1",37.7543587734574,-0.143183431328735,0.731992047786975,1.3131392926356,0.726015411126852,1
"NM_001081967.1",0.783543572130027,-2.55346217893521,4.31059423584325,0.486588495417749,0.921827825609843,NA
"NM_001083634.1",1.76388551489006,0.553421446097204,1.42925114023023,2.89672108132634,0.407824379496311,NA
"NM_001098445.2",0.414596385458306,0.231875097515859,4.34579880448573,0.608113608540393,0.894572462039088,NA
"NM_001098446.1",8.51066660803743,-1.47677615542528,1.183647590906,2.06050622041309,0.559943849256344,NA
"NM_001098451.1",7.3685735103758,-0.0130641664031318,1.07013403059093,3.16531591872511,0.366832287362408,NA
"NM_001098454.1",24.7615496194284,0.68610181861764,0.561782883587142,2.40574080468178,0.492566868404629,1
"NM_001098458.1",9.06067286390389,0.350090405212937,1.27472969896525,0.370197330921258,0.946327825245143,NA
"NM_001098459.1",0.659433082850792,1.13004907959546,4.29771913216314,0.836993274153642,0.840599786105997,NA
"NM_001110248.1",2.32840031205531,-3.84939889295458,1.88624057721886,4.57814930746325,0.205424577625828,NA
"NM_001113236.1",6.54730239221182,-1.35951430473635,0.942216099658617,3.71359116504317,0.294098173023898,NA
"NM_001123496.1",9.87608046443314,-0.135003891796331,0.611548546557165,3.62407940214146,0.305022397553199,NA
"NM_001123497.1",6321.40326156657,0.0573436649544337,0.111701436518573,5.98091203604204,0.112542598054334,0.744139419893741
"NM_001123498.1",628.330597599633,0.0343778297923164,0.165473645668903,6.10126108919934,0.106786250237903,0.723548073461005
"NM_001123501.1",105.006289862097,0.287107899022521,0.454534402815669,0.779715652045496,0.854312373837493,1
"NM_001123502.1",757.500976850308,-0.104172566225897,0.211598752632294,3.62469620609784,0.304945899790166,0.968325529123773
"NM_001123503.1",13.5802831924456,-1.54891448973401,1.5579227288368,4.71390140819067,0.19398606805756,NA
"NM_001123506.1",0.887464648853446,2.5491203111267,3.30815471471964,0.602848122748384,0.89578005227325,NA
"NM_001123508.1",41.1322631345575,-0.861591214652194,0.565848749260889,2.64140316773043,0.450277226494252,0.998143285873081
"NM_001123510.1",221.199445454618,0.429208062555062,0.465936062325669,1.19432953955535,0.754364641197375,1
"NM_001123512.1",350.121819404911,-0.822036417956953,0.543043742950048,4.40716698287082,0.220721760782418,0.90145681853096
"NM_001123513.2",2.15473128149801,-0.850447686422529,1.42095072887388,2.38289893766,0.496825918738554,NA
"NM_001123514.1",0.7439590532476,0.155193152787181,3.22137638922111,0.571375379463035,0.902952899278018,NA
"NM_001123517.1",304.591666231673,-0.22654688216334,0.382726376840357,2.60282841987089,0.456993904098008,0.999755631612013
"NM_001123521.1",3.73869551799448,1.13433107450002,3.82506731090989,0.362201011230304,0.947935270924784,NA
"NM_001124757.1",4.11267333454402,-1.07857177087151,1.54017899798125,1.17061772190965,0.760059673350806,NA
"NM_001124760.1",1.66128882879729,-0.401958793331451,2.07091369673202,0.153659110192415,0.984698839283202,NA
"NM_001124761.1",1132.83412742929,-0.116676305442968,0.227297128527923,3.29530857529394,0.348296137639569,0.978603488647963
"NM_001124766.1",1.65935667533589,0.397379638023327,2.22883621610055,0.0534728293858961,0.996763599055511,NA
"NM_001128067.1",3.33965526986501,-1.40747783686298,1.34049854516774,6.41817549629139,0.0929459217111907,NA
"NM_001129807.2",1.05519490183456,0.631582004574393,2.82101410491179,0.360274155363733,0.948320939106273,NA
"NM_001129809.1",3.98296374191398,1.42371924241981,1.06875991459525,1.9238089258833,0.588370038934602,NA
"NM_001129811.2",1.00111166116253,-0.0743681542005228,1.9440914045936,0.546389732942387,0.908587780991449,NA
"NM_001129812.1",0.89393743694792,-1.6578691201355,4.32509216675706,-0.445443708489215,1,NA
"NM_001129813.1",0.531084169658698,-0.218007004738315,4.33991839861833,0.59021291814382,0.898669201628889,NA
"NM_001129814.1",440.624956708573,-0.992302347619996,0.824558297288678,2.49652408472323,0.47591958660392,1
"NM_001129815.1",20.8809851563156,-0.742096701546915,0.598009126865212,1.87679079715591,0.598368618532249,1
"NM_001142379.1",4.79915693351928,-0.37549905277317,0.995698492425623,0.674721322609372,0.87913301989558,NA
"NM_001145493.1",4.11857870590996,-0.602749892570201,1.12376516573166,5.95119846300372,0.114008816524279,NA
"NM_001146194.1",2.23274225276824,1.2888189577472,1.44143902209334,1.28198151414357,0.733416126391744,NA
"NM_001146195.2",0.563500987652585,0.865086672376322,4.40135617965085,0.287339214231825,0.962391775976298,NA
"NM_001161437.2",0.875025117048306,-0.0284375814825386,3.10661896723533,0.276779379158143,0.964334806389519,NA
"NM_001165990.1",10.080310374134,-0.69150204601843,2.19084884763034,3.05745900851197,0.382850691454114,NA
"NM_001170815.2",7.07266770818946,-1.16423521161634,0.81229735816158,5.72920549006506,0.125554496583523,NA
"NM_001170818.2",12.9685419674654,-0.139145037578439,0.686373890561563,4.47191896220606,0.214808770039434,NA
"NM_001172052.1",0.458543166959398,0.121829731337507,4.34731518963893,0.036620096580009,0.998156547898669,NA
"NM_001185052.1",2.5339711065821,0.784991693891547,2.69237007095656,0.222841658140858,0.973820270173997,NA
"NM_001199949.1",3.04593696657063,1.57121780894083,1.72283358609329,4.7386569236328,0.191965168547414,NA
"NM_001202491.1",6.19206655218158,0.247666819109511,1.18961850414695,0.617264403895462,0.892468957960039,NA
"NM_001242650.1",5109.17012134013,-0.466951120320418,0.405855405923308,7.97737838761071,0.0464815470729844,0.517053834069981
"NM_001242655.1",2.49727029788515,-0.416025418890024,1.60568993769644,0.14756636065114,0.985573701445356,NA
"NM_001242664.1",262.987800358925,-0.449635868400074,0.400128758537243,4.64537179403604,0.199684238499403,0.886329924357884
"NM_001242666.1",17.1662750295909,-2.40717207842967,1.17618714500635,4.01385165160377,0.259972281284354,NA
"NM_001242667.1",26.0037230190442,-1.00737884678221,0.703917025174895,2.1264435542129,0.546581604597139,1
"NM_001242669.1",1.47439998910526,0.527140361041614,1.86726781146354,0.522489211517218,0.913923568332059,NA
"NM_001242687.1",41.5108936395969,-0.400737749376353,0.625416133860292,0.94123264308152,0.815467720786293,1
"NM_001245973.1",1.21427946879719,0.256525119287036,1.9118838163394,0.314598696905264,0.957259880083904,NA
