"","GO.ID","Term","Annotated","Significant","Expected","classic"
"4","GO:0003723","RNA binding",765,9,3.08,"0.0028"
"5","GO:0005525","GTP binding",274,5,1.1,"0.0046"
"6","GO:0019001","guanyl nucleotide binding",277,5,1.12,"0.0048"
"7","GO:0032561","guanyl ribonucleotide binding",277,5,1.12,"0.0048"
"9","GO:0097159","organic cyclic compound binding",3392,20,13.66,"0.0257"
"10","GO:0003676","nucleic acid binding",1901,13,7.65,"0.0301"
