UniqueCount	AmbigCount
128	0
214	0
0	5
23	0
0	0
0	6
0	0
4	0
0	0
0	4
0	285
5	20
0	2
11	0
1	0
7	211
0	211
0	21
607	85
0	2
0	0
0	0
216	0
186	0
0	0
2	0
2	0
27	5
5	0
7	4
0	4
0	7
53	17
1231	0
3	9
0	0
0	0
68	0
0	0
0	0
5	0
0	0
0	0
0	0
1	5
32	80
0	3
0	0
1	0
0	98
0	0
0	0
0	0
0	0
0	0
0	5
0	12
0	0
0	6
1	0
0	0
27	0
0	1
0	0
0	0
0	0
4	0
0	0
0	0
117	0
0	0
0	0
11	0
0	2
0	0
0	0
0	2
1	24
0	0
0	0
0	2
0	0
3	0
0	0
0	3
0	0
30	0
3684	0
110	0
0	0
7	0
36	0
337	16
0	107
0	10
3	0
6	0
279	0
0	0
14	324
0	0
291	0
0	0
32	23
601	0
0	0
0	0
0	0
4	27
27	9
0	0
1573	0
0	2
0	0
2	0
0	4
3	6
1	0
0	0
0	0
0	0
0	2
0	0
0	0
6	0
11	19
0	0
0	51
2	1
0	3
30	0
0	0
0	0
4	0
18	0
333	0
48	0
0	0
0	13
1	0
20	0
1	0
0	1
0	0
0	0
0	0
82	0
5	5
0	0
1	0
1	7
14	0
2	0
0	2
0	0
0	59
2	0
0	1
0	0
0	0
1	0
0	6
10	55
13	18
0	3
769	0
0	41
0	0
0	1
0	9
0	0
0	0
0	0
3	33
0	5
0	44
97	0
1	0
1	0
0	8
0	215
0	0
0	0
3	0
1	0
80	0
0	1
0	0
0	0
0	70
5	41
0	8
4	0
5	1
0	0
0	0
2	33
0	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
0	3
0	0
24	7
1	0
0	1
0	0
0	0
0	122
1	86
15	534
0	26
0	2
0	1
109	11
30	0
117	0
34	0
0	0
9	0
0	3
0	26
0	0
0	76
10	0
2	0
3	0
47	0
37	356
0	0
0	0
0	0
1	0
1	15
2	0
0	20
0	0
0	0
6	0
43	0
7	0
0	0
1	0
390	158
66	0
0	8
60	0
0	0
0	0
33	79
0	0
0	1
0	8
82	84
185	0
9	0
0	0
0	0
18	91
0	4
27	0
0	0
6	0
2	2
0	3
0	2
33	0
0	1653
7	216
2	1
8	0
232	28
0	1
17	8
0	0
0	0
0	0
0	45
983	0
6	0
0	0
0	9
18	2475
0	2
0	0
0	0
0	0
0	0
39	0
0	0
87	225
12	0
6	0
4	0
0	0
107	2
5	17
1	0
1	0
0	0
0	0
0	6
0	6
0	6
0	6
42	80
0	0
219	345
96	91
337	0
0	1
10	0
1	211
16	2
0	0
0	1
84	0
200	0
3	0
0	0
0	0
0	0
3	2
87	0
165	0
283	0
155	0
0	2
0	1
0	0
0	0
9	25
0	17
0	5
3	0
0	0
